Here are the results for Channel 1 (nasal)					Here are the results for Channel 2 (oral)						"""""nasalance"""" as per Praat"
time	pitch(Hz)	Amplitude(dB)	RMSqIntensity(Pa)		time	pitch(Hz)	Amplitude(dB)	RMSqIntensity(Pa)			N / (N + O )
0.01	--undefined--	--undefined--	--undefined--		0.01	--undefined--	--undefined--	--undefined--			#VALUE!
0.02	--undefined--	--undefined--	--undefined--		0.02	--undefined--	--undefined--	--undefined--			#VALUE!
0.03	--undefined--	--undefined--	--undefined--		0.03	--undefined--	--undefined--	--undefined--			#VALUE!
0.04	--undefined--	--undefined--	--undefined--		0.04	--undefined--	--undefined--	--undefined--			#VALUE!
3.81	--undefined--	24.087	0.000320181		3.81	--undefined--	18.282	0.000164105			0.661140118
3.82	--undefined--	29.557	0.00060102		3.82	--undefined--	22.395	0.000263501			0.695205999
3.83	274.875	33.041	0.000897554		3.83	--undefined--	25.516	0.000377413			0.703982338
3.84	238.044	34.502	0.001061987		3.84	230.636	28.12	0.00050937			0.675840604
3.85	227.26	34.828	0.001102669		3.85	227.654	29.761	0.000615286			0.641849558
3.86	223.993	34.961	0.001119645		3.86	224.832	30.264	0.000651981			0.63198705
3.87	221.826	35.181	0.001148402		3.87	222.437	29.949	0.000628762			0.646199193
3.88	219.852	35.614	0.001207035		3.88	220.609	29.096	0.00056992			0.679271794
3.89	217.505	36.439	0.001327305		3.89	218.988	27.419	0.000469892			0.738541919
3.9	215.403	37.859	0.0015631		3.9	218.283	24.29	0.000327754			0.826663681
3.91	215.585	39.162	0.001816138		3.91	--undefined--	19.179	0.00018196			0.908933194
3.92	213.681	39.581	0.001905795		3.92	--undefined--	13.346	9.30E-05			0.953489935
3.93	212.055	39.394	0.001865231		3.93	--undefined--	11.35	7.39E-05			0.961899685
3.94	210.573	39.184	0.001820738		3.94	--undefined--	11.833	7.81E-05			0.958867528
3.95	211.942	39.288	0.001842566		3.95	--undefined--	12.813	8.74E-05			0.954696802
3.96	221.078	39.758	0.001945109		3.96	--undefined--	13.788	9.78E-05			0.952119812
3.97	228.573	39.931	0.001984132		3.97	--undefined--	13.748	9.74E-05			0.95322276
3.98	240.655	38.768	0.001735483		3.98	--undefined--	11.79	7.77E-05			0.957135433
3.99	257.294	35.38	0.001175038		3.99	--undefined--	7.854	4.94E-05			0.959652967
4	--undefined--	30.41	0.000663034		4	--undefined--	5.953	3.97E-05			0.943520241
4.01	--undefined--	29.342	0.000586282		4.01	--undefined--	11.48	7.50E-05			0.886594717
4.02	298.15	28.957	0.000560916		4.02	--undefined--	18.116	0.000160996			0.7769862
4.03	285.427	25.698	0.000385395		4.03	--undefined--	21.227	0.000230341			0.625909639
4.04	278.104	20.431	0.000210173		4.04	--undefined--	20.225	0.00020524			0.505937204
4.05	--undefined--	14.53	0.000106538		4.05	--undefined--	15.621	0.00012081			0.468612241
4.06	--undefined--	11.114	7.19E-05		4.06	--undefined--	12.11	8.06E-05			0.471364093
4.07	--undefined--	11.266	7.32E-05		4.07	--undefined--	13.823	9.82E-05			0.426924064
4.08	--undefined--	11.725	7.71E-05		4.08	--undefined--	15.571	0.000120105			0.391084371
4.09	--undefined--	15.11	0.000113903		4.09	--undefined--	16.109	0.00012779			0.471271158
4.1	--undefined--	23.739	0.000307591		4.1	--undefined--	19.835	0.000196243			0.610500618
4.11	284.101	30.94	0.000704753		4.11	--undefined--	26.117	0.000404442			0.635373507
4.12	283.898	33.96	0.000997749		4.12	--undefined--	29.576	0.000602353			0.623553237
4.13	275.592	33.159	0.000909909		4.13	116.955	30.059	0.000636789			0.588291244
4.14	113.919	30.356	0.000658883		4.14	115.922	28.617	0.000539367			0.549871278
4.15	113.867	29.274	0.000581714		4.15	121.457	26.717	0.000433367			0.573071274
4.16	100.044	29.098	0.00057009		4.16	97.824	25.069	0.000358504			0.613928136
4.17	97.277	28.537	0.000534391		4.17	96.693	23.557	0.00030121			0.639528889
4.18	104.332	27.792	0.000490512		4.18	79.7	21.896	0.000248787			0.66348222
4.19	--undefined--	26.957	0.000445517		4.19	--undefined--	20.052	0.000201192			0.688898909
4.2	--undefined--	27.434	0.000470673		4.2	--undefined--	19.483	0.000188436			0.71410477
4.21	159.262	29.966	0.000629989		4.21	--undefined--	21.102	0.000227054			0.735072576
4.22	161.352	30.851	0.000697596		4.22	--undefined--	21.286	0.000231905			0.750505615
4.23	156.218	29.121	0.000571554		4.23	--undefined--	19.626	0.000191582			0.748954364
4.24	--undefined--	28.677	0.000543086		4.24	--undefined--	20.616	0.000214687			0.716687031
4.25	--undefined--	29.825	0.000619844		4.25	--undefined--	21.252	0.000230998			0.728506918
4.26	--undefined--	29.814	0.000619054		4.26	--undefined--	20.364	0.000208558			0.748000399
4.27	91.286	29.21	0.000577478		4.27	--undefined--	19.318	0.000184889			0.757480646
4.28	98.43	29.099	0.00057014		4.28	--undefined--	18.832	0.00017483			0.765319337
4.29	97.663	30.726	0.000687592		4.29	--undefined--	20.179	0.000204173			0.771045927
4.3	151.292	32.704	0.000863464		4.3	--undefined--	21.967	0.000250818			0.77490623
4.31	153.062	33.102	0.000903894		4.31	--undefined--	22.722	0.00027362			0.76762909
4.32	151.622	33.022	0.000895665		4.32	--undefined--	23.765	0.000308525			0.743790607
4.33	153.127	33.119	0.000905739		4.33	--undefined--	23.052	0.000284207			0.76115965
4.34	292.138	35.686	0.001217155		4.34	--undefined--	18.906	0.000176336			0.873457563
4.35	274.165	39.423	0.001871354		4.35	--undefined--	14.627	0.000107735			0.945563332
4.36	264.455	40.589	0.002140323		4.36	--undefined--	13.447	9.41E-05			0.957906843
4.37	260.55	39.005	0.00178344		4.37	--undefined--	11.201	7.26E-05			0.960871975
4.38	262.22	34.908	0.001112814		4.38	--undefined--	6.839	4.40E-05			0.962003081
4.39	265.867	28.348	0.000522894		4.39	--undefined--	-0.006	2.00E-05			0.963185747
4.4	--undefined--	19.148	0.000181322		4.4	--undefined--	-7.736	8.21E-06			0.95669218
4.41	--undefined--	9.885	6.24E-05		4.41	--undefined--	-10.396	6.04E-06			0.911731145
4.42	--undefined--	9.578	6.02E-05		4.42	--undefined--	-10.75	5.80E-06			0.912161496
4.43	--undefined--	9.678	6.09E-05		4.43	--undefined--	-10.293	6.11E-06			0.908818324
4.44	--undefined--	7.95	5.00E-05		4.44	--undefined--	-10.658	5.86E-06			0.894957875
4.45	--undefined--	6.187	4.08E-05		4.45	--undefined--	-11.759	5.17E-06			0.887566269
4.46	--undefined--	5.438	3.74E-05		4.46	--undefined--	-7.821	8.13E-06			0.821505379
4.47	--undefined--	8.958	5.61E-05		4.47	--undefined--	0.66	2.16E-05			0.722173659
4.48	--undefined--	13.195	9.14E-05		4.48	--undefined--	5.242	3.66E-05			0.71414143
4.49	--undefined--	14.031	0.000100594		4.49	--undefined--	5.325	3.69E-05			0.731517605
4.5	--undefined--	11.661	7.66E-05		4.5	--undefined--	1.377	2.34E-05			0.765678747
4.51	--undefined--	8.427	5.28E-05		4.51	--undefined--	-3.811	1.29E-05			0.803604611
4.52	--undefined--	5.77	3.89E-05		4.52	--undefined--	-6.053	9.96E-06			0.795951241
4.53	--undefined--	3.873	3.12E-05		4.53	--undefined--	-6.62	9.33E-06			0.769953429
4.54	--undefined--	1.816	2.47E-05		4.54	--undefined--	-6.252	9.74E-06			0.71683876
4.55	--undefined--	0.301	2.07E-05		4.55	--undefined--	-2.513	1.50E-05			0.580287463
4.56	--undefined--	2.52	2.67E-05		4.56	--undefined--	3.7	3.06E-05			0.466080422
4.57	--undefined--	4.887	3.51E-05		4.57	--undefined--	7.403	4.69E-05			0.428062619
4.58	--undefined--	5.335	3.70E-05		4.58	--undefined--	8.353	5.23E-05			0.414003558
4.59	--undefined--	4.93	3.53E-05		4.59	--undefined--	8.604	5.39E-05			0.395800793
4.6	--undefined--	--undefined--	--undefined--		4.6	--undefined--	--undefined--	--undefined--			#VALUE!
4.61	--undefined--	--undefined--	--undefined--		4.61	--undefined--	--undefined--	--undefined--			#VALUE!
4.62	--undefined--	--undefined--	--undefined--		4.62	--undefined--	--undefined--	--undefined--			#VALUE!
4.63	--undefined--	--undefined--	--undefined--		4.63	--undefined--	--undefined--	--undefined--		nasalance 	#VALUE!
										all values	0.461606114
										(minus non-numerical)	
