Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
1.26 --undefined-- -7.439 8.493106859871425e-006
1.27 --undefined-- -9.054 7.052489590444845e-006
1.28 --undefined-- -7.238 8.69257097948962e-006
1.29 --undefined-- -4.386 1.2070396070960957e-005
1.30 --undefined-- -1.907 1.6058281345353862e-005
1.31 --undefined-- 1.517 2.381796734443499e-005
1.32 --undefined-- 6.117 4.044774576023603e-005
1.33 --undefined-- 11.736 7.723721760262149e-005
1.34 --undefined-- 14.888 0.00011102993901948607
1.35 179.251 14.976 0.00011216275231099291
1.36 178.423 12.674 8.604165414689045e-005
1.37 175.185 8.813 5.5169385227770324e-005
1.38 167.209 4.234 3.256490801929454e-005
1.39 --undefined-- -0.483 1.8919281965017923e-005
1.40 --undefined-- -5.595 1.050222554348096e-005
1.41 --undefined-- -8.964 7.125671992183259e-006
1.42 --undefined-- -7.737 8.206898117092366e-006
1.43 --undefined-- -4.739 1.1590141959672818e-005
1.44 --undefined-- -1.621 1.659531071585181e-005
1.45 --undefined-- 4.293 3.278549918915365e-005
1.46 --undefined-- 9.330 5.8550567217770976e-005
1.47 --undefined-- 11.355 7.392265849868176e-005
1.48 82.099 11.202 7.263185335364007e-005
1.49 82.053 10.489 6.690977844916585e-005
1.50 --undefined-- 10.282 6.533244676336201e-005
1.51 --undefined-- 10.256 6.513468288509155e-005
1.52 --undefined-- 10.301 6.547546323424089e-005
1.53 --undefined-- 10.387 6.612862589830245e-005
1.54 --undefined-- 10.248 6.507695507866282e-005
1.55 --undefined-- 9.945 6.284307380027257e-005
1.56 161.060 9.473 5.952379430160138e-005
1.57 158.551 7.485 4.734477162016047e-005
1.58 --undefined-- 4.016 3.1757521621400886e-005
1.59 --undefined-- 1.015 2.2478047724660816e-005
1.60 --undefined-- -1.258 1.7302709234002458e-005
1.61 --undefined-- -2.286 1.5372430874664433e-005
1.62 --undefined-- -3.023 1.4122103425567423e-005
1.63 --undefined-- -3.890 1.2779929568368903e-005
1.64 --undefined-- -4.981 1.1271742980628802e-005
1.65 --undefined-- -7.494 8.43977963177227e-006
1.66 --undefined-- -10.091 6.2589837613689985e-006
1.67 --undefined-- -10.173 6.199558834099948e-006
1.68 --undefined-- -10.059 6.281804316897375e-006
1.69 --undefined-- -10.525 5.953566915113589e-006
1.70 --undefined-- -10.470 5.99115210226903e-006
1.71 --undefined-- -10.577 5.918247745946318e-006
1.72 --undefined-- -11.052 5.602921225659544e-006
1.73 --undefined-- -10.903 5.7003597425626945e-006
1.74 --undefined-- -9.279 6.872306395146374e-006
1.75 --undefined-- -3.396 1.3528482183174834e-005
1.76 280.294 2.559 2.68522418144157e-005
1.77 275.028 4.662 3.420839227610076e-005
1.78 274.147 2.742 2.7424450220625298e-005
1.79 --undefined-- -0.913 1.800492232174667e-005
1.80 --undefined-- 6.963 4.4586632573367395e-005
1.81 --undefined-- 14.036 0.00010065077863649447
1.82 168.072 17.633 0.00015229431193654284
1.83 174.054 18.896 0.0001761274406890045
1.84 174.611 18.408 0.00016650395027010615
1.85 172.033 16.602 0.0001352523576983198
1.86 162.526 14.093 0.00010132165977347319
1.87 --undefined-- 9.883 6.240202030952642e-005
1.88 --undefined-- 2.588 2.6941976209800718e-005
1.89 --undefined-- -5.431 1.0701849786339913e-005
1.90 --undefined-- -5.481 1.064071454387678e-005
1.91 --undefined-- -2.734 1.45984204044807e-005
1.92 --undefined-- 3.160 2.877579674233123e-005
1.93 --undefined-- 9.914 6.261938637358632e-005
1.94 --undefined-- 13.941 9.956245249909372e-005
1.95 174.792 15.792 0.00012319856070050277
1.96 174.925 16.066 0.00012715307248906756
1.97 174.274 14.983 0.00011224403407315351
1.98 169.815 12.555 8.487729119062511e-005
1.99 171.334 8.619 5.3948323738529446e-005
2.00 --undefined-- 3.126 2.8663718451612733e-005
2.01 --undefined-- -2.065 1.5768124151556855e-005
2.02 --undefined-- -3.731 1.3016703733035679e-005
2.03 --undefined-- -4.514 1.1893530705401826e-005
2.04 --undefined-- -5.068 1.1159367995622274e-005
2.05 --undefined-- -4.778 1.153763913133427e-005
2.06 --undefined-- -4.662 1.1692619660144703e-005
2.07 --undefined-- -5.873 1.0171579272742163e-005
2.08 --undefined-- -8.480 7.533716800067199e-006
2.09 --undefined-- -10.018 6.31174729204874e-006
2.10 --undefined-- -7.088 8.843979059284683e-006
2.11 --undefined-- -3.710 1.3047266161577552e-005
2.12 --undefined-- -0.081 1.9815257757105484e-005
2.13 --undefined-- 7.781 4.898774838784373e-005
2.14 --undefined-- 13.340 9.289802177242551e-005
2.15 177.889 15.908 0.00012485744744675188
2.16 175.598 16.683 0.00013652208617623035
2.17 174.758 16.766 0.00013783071722787247
2.18 175.464 16.899 0.00013995215380722698
2.19 176.060 17.195 0.00014480820601227285
2.20 176.196 17.393 0.00014814001431291742
2.21 175.767 17.332 0.0001471039991692654
2.22 175.262 17.153 0.0001441116598692054
2.23 174.873 17.119 0.00014354567838737755
2.24 174.746 17.240 0.00014555555451580693
2.25 174.509 17.300 0.00014656238669360914
2.26 174.493 17.271 0.00014608430853165066
2.27 174.652 17.301 0.00014658719026232212
2.28 174.229 17.405 0.0001483421154059266
2.29 173.238 17.572 0.0001512233398116636
2.30 173.019 17.890 0.00015686920280385825
2.31 171.971 18.496 0.0001681985432850087
2.32 171.180 19.521 0.00018926654243920548
2.33 170.505 20.508 0.00021204130241953941
2.34 170.395 20.786 0.00021893618639875427
2.35 171.519 20.388 0.00020913613998023193
2.36 172.531 19.874 0.00019713031293269522
2.37 172.931 19.618 0.00019139516499146517
2.38 173.013 19.652 0.0001921446083314653
2.39 173.048 20.064 0.00020147248594148997
2.40 173.180 20.828 0.00022000041419999327
2.41 173.023 21.703 0.00024330837791667717
2.42 172.635 22.245 0.0002589802200282528
2.43 169.787 21.912 0.000249238056430182
2.44 163.071 20.691 0.0002165715201802662
2.45 157.906 19.230 0.00018303203623931124
2.46 154.404 17.976 0.00015843394993616118
2.47 154.213 16.499 0.0001336565805372879
2.48 154.982 14.326 0.00010406576978178355
2.49 158.841 12.385 8.323376741274097e-005
2.50 159.526 13.488 9.450080454188984e-005
2.51 157.943 15.683 0.00012166506249727132
2.52 161.034 16.552 0.00013447391954297025
2.53 161.081 16.469 0.00013318747544358885
2.54 161.159 16.257 0.00012998536689815058
2.55 161.380 16.164 0.0001285978958611427
2.56 161.152 15.997 0.00012615278081344223
2.57 161.628 15.752 0.00012264066489621795
2.58 161.223 15.611 0.0001206694550594882
2.59 161.168 15.713 0.00012208751657417905
2.60 160.835 15.998 0.0001261656814002494
2.61 160.400 16.277 0.0001302833765726186
2.62 160.495 16.437 0.00013269859630720893
2.63 159.804 16.547 0.0001344000988053242
2.64 159.506 17.038 0.00014220278502573172
2.65 161.514 17.904 0.00015711251942728053
2.66 161.903 18.337 0.00016514666458001235
2.67 160.888 18.253 0.00016355663865309103
2.68 160.731 18.215 0.0001628516720827759
2.69 160.306 18.362 0.00016562903049087966
2.70 160.232 18.617 0.00017056604222247682
2.71 159.996 19.043 0.000179135766850503
2.72 159.495 19.566 0.00019025831287370818
2.73 158.968 19.913 0.00019800655005028521
2.74 158.757 19.783 0.00019507083872266759
2.75 159.135 19.132 0.00018097508978310916
2.76 159.531 18.296 0.0001643802966123377
2.77 158.030 17.528 0.0001504562292520696
2.78 155.201 16.640 0.0001358432153481231
2.79 151.827 15.564 0.00012001681724868355
2.80 150.600 14.364 0.00010452288466176106
2.81 152.493 12.831 8.76198119265474e-005
2.82 157.217 11.083 7.164312404651132e-005
2.83 164.504 10.457 6.666424666842748e-005
2.84 163.861 12.203 8.150835799450509e-005
2.85 161.648 14.803 0.00010994952315895108
2.86 160.474 16.780 0.00013804190598941824
2.87 160.725 18.115 0.0001609833657280576
2.88 160.211 19.105 0.00018041566516454105
2.89 159.511 19.771 0.00019480607569061944
2.90 158.464 20.030 0.00020069296767886036
2.91 156.790 19.821 0.00019591341029334065
2.92 154.093 19.033 0.00017893430596248363
2.93 151.061 17.715 0.00015373093787043345
2.94 147.575 16.105 0.0001277212409359416
2.95 --undefined-- 14.883 0.00011096472900305893
2.96 --undefined-- 14.444 0.00010549753221254291
2.97 --undefined-- 13.375 9.327873794879221e-005
2.98 --undefined-- 12.940 8.872013692468228e-005
2.99 --undefined-- 14.544 0.0001067125338985351
3.00 --undefined-- 16.679 0.00013644505913449183
3.01 --undefined-- 19.044 0.0001791517460489393
3.02 --undefined-- 21.978 0.0002511427968491344
3.03 --undefined-- 24.263 0.0003267276558250987
3.04 --undefined-- 25.774 0.00038879132878315997
3.05 --undefined-- 26.638 0.0004294537655419606
3.06 79.255 26.769 0.00043599749134234293
3.07 81.652 25.952 0.00039687404191118727
3.08 84.780 24.456 0.0003340556240753541
3.09 176.873 23.157 0.0002876596784031163
3.10 180.605 22.654 0.0002714850678812802
3.11 184.031 22.694 0.00027273939030205563
