Here	are	the	results	for	Channel	1	(nasal):	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
0.96	131.421	65.125	0.03608104		0.96	--undefined--	55.94	0.012531597		0.257784761				
0.97	--undefined--	56.565	0.013466876		0.97	--undefined--	48.926	0.005589178		0.293301959				
0.98	--undefined--	45.016	0.003563077		0.98	--undefined--	40.901	0.002218508		0.383719715				
0.99	--undefined--	38.338	0.001651625		0.99	--undefined--	38.463	0.001675683		0.503615143				
1	--undefined--	38.444	0.001671976		1	--undefined--	38.127	0.001612055		0.490876857				
1.01	--undefined--	38.63	0.001708125		1.01	--undefined--	38.166	0.001619289		0.486651008				
1.02	--undefined--	38.619	0.001706044		1.02	--undefined--	37.913	0.001572758		0.479674553				
1.03	--undefined--	44.388	0.003314719		1.03	--undefined--	38.065	0.001600603		0.325635401				
1.04	--undefined--	52.978	0.008910596		1.04	--undefined--	42.617	0.002703087		0.232750181				
1.05	--undefined--	57.865	0.01564206		1.05	--undefined--	47.067	0.004511877		0.223870753				
1.06	--undefined--	60.447	0.02105607		1.06	--undefined--	49.567	0.006017248		0.222257494				
1.07	--undefined--	65.862	0.039275522		1.07	--undefined--	54.195	0.010251192		0.206983083				
1.08	--undefined--	70.912	0.070247882		1.08	--undefined--	58.998	0.017821333		0.202355992				
1.09	--undefined--	73.535	0.095007661		1.09	--undefined--	61.74	0.024435557		0.204578856				
1.1	--undefined--	74.25	0.103166741		1.1	--undefined--	62.72	0.027354944		0.209581606				
1.11	--undefined--	73.128	0.090667568		1.11	--undefined--	61.954	0.02504657		0.216452117				
1.12	--undefined--	69.452	0.059381633		1.12	--undefined--	59.023	0.017871554		0.231337434				
1.13	--undefined--	62.336	0.026170407		1.13	--undefined--	53.523	0.009487885		0.266077947				
1.14	--undefined--	51.465	0.007486907		1.14	--undefined--	46.093	0.004033249		0.350103697				
1.15	--undefined--	43.028	0.002834265		1.15	--undefined--	40.947	0.002230489		0.440394279				
1.16	--undefined--	44.759	0.003459156		1.16	--undefined--	39.749	0.001942992		0.359670182				
1.17	--undefined--	53.646	0.009623323		1.17	--undefined--	42.944	0.002807004		0.225819006				
1.18	--undefined--	60.694	0.021663372		1.18	--undefined--	48.689	0.005438458		0.200667556				
1.19	--undefined--	66.932	0.044424815		1.19	--undefined--	53.941	0.009955762		0.183075694				
1.2	--undefined--	72.157	0.081071658		1.2	--undefined--	58.679	0.017178251		0.174842408				
1.21	--undefined--	75.212	0.115243074		1.21	--undefined--	61.643	0.024163463		0.173330917				
1.22	--undefined--	76.434	0.132650371		1.22	--undefined--	62.921	0.027994111		0.174261268				
1.23	--undefined--	76.47	0.133200778		1.23	--undefined--	63.133	0.028685163		0.177193661				
1.24	--undefined--	75.667	0.121440197		1.24	--undefined--	62.574	0.026899309		0.181336111				
1.25	--undefined--	74.803	0.109942825		1.25	--undefined--	61.887	0.024852956		0.184374878				
1.26	--undefined--	74.396	0.104911824		1.26	--undefined--	61.5	0.023771387		0.184727957				
1.27	--undefined--	74.249	0.103157238		1.27	--undefined--	61.36	0.023388873		0.184824902				
1.28	126.133	74.085	0.101224448		1.28	126.437	61.42	0.023551089		0.188747645				
1.29	136.631	74.128	0.101726197		1.29	136.36	61.774	0.02453187		0.194299429				
1.3	123.078	73.926	0.099382311		1.3	122.882	61.83	0.024691017		0.199003421				
1.31	128.379	72.873	0.088039789		1.31	128.888	61.087	0.02266661		0.20474526				
1.32	127.121	71.049	0.071366351		1.32	127.343	59.621	0.019146913		0.211537093				
1.33	126.332	68.321	0.052127472		1.33	126.151	57.375	0.014783004		0.220937065				
1.34	122.063	64.841	0.034920839		1.34	121.534	54.704	0.010870609		0.237393874				
1.35	--undefined--	60.471	0.021114294		1.35	--undefined--	51.206	0.007266225		0.256028614				
1.36	--undefined--	54.599	0.010739626		1.36	--undefined--	45.981	0.003981761		0.27047455				
1.37	--undefined--	48.935	0.005594741		1.37	--undefined--	40.909	0.002220557		0.28412953				
1.38	--undefined--	46.94	0.004446822		1.38	--undefined--	39.48	0.001883863		0.297576453				
1.39	--undefined--	46.148	0.004058902		1.39	--undefined--	38.444	0.001671984		0.291749594				
1.4	--undefined--	44.067	0.003194406		1.4	--undefined--	37.863	0.001563765		0.328648297				
1.41	--undefined--	41.884	0.00248439		1.41	--undefined--	38.762	0.001734387		0.411111319				
1.42	--undefined--	42.686	0.002724798		1.42	--undefined--	39.4	0.00186641		0.406518254				
1.43	--undefined--	44.034	0.0031823		1.43	--undefined--	39.437	0.001874515		0.370690811				
1.44	--undefined--	44.761	0.003459848		1.44	--undefined--	39.472	0.001881996		0.352312056				
1.45	--undefined--	46.54	0.00424661		1.45	--undefined--	40.377	0.002088811		0.329703548				
1.46	--undefined--	49.768	0.006157596		1.46	--undefined--	42.072	0.002538779		0.291935305				
1.47	--undefined--	53.932	0.009945549		1.47	--undefined--	43.357	0.002943776		0.228388693				
1.48	--undefined--	58.981	0.017785436		1.48	--undefined--	43.477	0.002984484		0.143692622				
1.49	--undefined--	62.216	0.025812011		1.49	--undefined--	42.852	0.002777501		0.097151032				
1.5	--undefined--	61.799	0.024602827		1.5	--undefined--	41.685	0.002428214		0.089830573				
1.51	--undefined--	57.851	0.015616268		1.51	--undefined--	40.83	0.002200474		0.123505969				
